Pallet: "pallet_sudo", Extrinsic: "sudo", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,61000,30000,1,4,0,2
0,56000,6000,1,4,0,2
0,57000,6000,1,4,0,2
0,56000,6000,1,4,0,2
0,54000,6000,1,4,0,2
0,62000,6000,1,4,0,2
0,53000,6000,1,4,0,2
0,54000,6000,1,4,0,2
0,55000,6000,1,4,0,2
0,54000,6000,1,4,0,2
0,54000,5000,1,4,0,2
0,54000,6000,1,4,0,2
0,54000,5000,1,4,0,2
0,54000,5000,1,4,0,2
0,55000,6000,1,4,0,2
0,54000,6000,1,4,0,2
0,54000,6000,1,4,0,2
0,53000,6000,1,4,0,2
0,55000,6000,1,4,0,2
0,53000,6000,1,4,0,2
104857,53000,6000,1,4,0,2
104857,54000,6000,1,4,0,2
104857,53000,5000,1,4,0,2
104857,69000,6000,1,4,0,2
104857,58000,5000,1,4,0,2
104857,56000,6000,1,4,0,2
104857,72000,6000,1,4,0,2
104857,52000,5000,1,4,0,2
104857,55000,6000,1,4,0,2
104857,54000,6000,1,4,0,2
104857,54000,5000,1,4,0,2
104857,73000,7000,1,4,0,2
104857,57000,6000,1,4,0,2
104857,54000,6000,1,4,0,2
104857,54000,6000,1,4,0,2
104857,52000,6000,1,4,0,2
104857,53000,5000,1,4,0,2
104857,53000,6000,1,4,0,2
104857,52000,5000,1,4,0,2
104857,53000,5000,1,4,0,2
209714,66000,5000,1,4,0,2
209714,49000,5000,1,4,0,2
209714,50000,5000,1,4,0,2
209714,65000,5000,1,4,0,2
209714,49000,5000,1,4,0,2
209714,97000,7000,1,4,0,2
209714,51000,6000,1,4,0,2
209714,50000,10000,1,4,0,2
209714,54000,6000,1,4,0,2
209714,48000,5000,1,4,0,2
209714,48000,5000,1,4,0,2
209714,47000,5000,1,4,0,2
209714,46000,5000,1,4,0,2
209714,47000,5000,1,4,0,2
209714,47000,5000,1,4,0,2
209714,48000,5000,1,4,0,2
209714,47000,5000,1,4,0,2
209714,48000,6000,1,4,0,2
209714,47000,5000,1,4,0,2
209714,46000,4000,1,4,0,2
314571,46000,5000,1,4,0,2
314571,46000,5000,1,4,0,2
314571,45000,4000,1,4,0,2
314571,45000,4000,1,4,0,2
314571,45000,5000,1,4,0,2
314571,49000,5000,1,4,0,2
314571,46000,5000,1,4,0,2
314571,46000,5000,1,4,0,2
314571,42000,5000,1,4,0,2
314571,44000,5000,1,4,0,2
314571,54000,5000,1,4,0,2
314571,45000,5000,1,4,0,2
314571,46000,5000,1,4,0,2
314571,46000,5000,1,4,0,2
314571,46000,4000,1,4,0,2
314571,46000,5000,1,4,0,2
314571,47000,4000,1,4,0,2
314571,45000,5000,1,4,0,2
314571,46000,4000,1,4,0,2
314571,45000,5000,1,4,0,2
419428,78000,6000,1,4,0,2
419428,50000,5000,1,4,0,2
419428,48000,5000,1,4,0,2
419428,47000,5000,1,4,0,2
419428,97000,6000,1,4,0,2
419428,51000,6000,1,4,0,2
419428,49000,5000,1,4,0,2
419428,45000,4000,1,4,0,2
419428,47000,5000,1,4,0,2
419428,52000,5000,1,4,0,2
419428,46000,5000,1,4,0,2
419428,47000,5000,1,4,0,2
419428,50000,5000,1,4,0,2
419428,49000,5000,1,4,0,2
419428,46000,6000,1,4,0,2
419428,51000,5000,1,4,0,2
419428,50000,5000,1,4,0,2
419428,71000,5000,1,4,0,2
419428,53000,5000,1,4,0,2
419428,50000,5000,1,4,0,2
524285,50000,6000,1,4,0,2
524285,52000,6000,1,4,0,2
524285,51000,6000,1,4,0,2
524285,50000,5000,1,4,0,2
524285,47000,5000,1,4,0,2
524285,51000,5000,1,4,0,2
524285,53000,6000,1,4,0,2
524285,51000,5000,1,4,0,2
524285,51000,6000,1,4,0,2
524285,57000,5000,1,4,0,2
524285,48000,5000,1,4,0,2
524285,48000,5000,1,4,0,2
524285,54000,6000,1,4,0,2
524285,50000,5000,1,4,0,2
524285,47000,5000,1,4,0,2
524285,47000,5000,1,4,0,2
524285,48000,5000,1,4,0,2
524285,48000,7000,1,4,0,2
524285,63000,8000,1,4,0,2
524285,50000,6000,1,4,0,2
629142,48000,7000,1,4,0,2
629142,52000,6000,1,4,0,2
629142,49000,5000,1,4,0,2
629142,62000,4000,1,4,0,2
629142,49000,5000,1,4,0,2
629142,58000,7000,1,4,0,2
629142,51000,6000,1,4,0,2
629142,49000,5000,1,4,0,2
629142,49000,5000,1,4,0,2
629142,51000,5000,1,4,0,2
629142,49000,5000,1,4,0,2
629142,48000,5000,1,4,0,2
629142,48000,5000,1,4,0,2
629142,68000,6000,1,4,0,2
629142,58000,6000,1,4,0,2
629142,49000,5000,1,4,0,2
629142,48000,5000,1,4,0,2
629142,68000,4000,1,4,0,2
629142,46000,5000,1,4,0,2
629142,47000,4000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,47000,4000,1,4,0,2
733999,47000,6000,1,4,0,2
733999,47000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,45000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,47000,5000,1,4,0,2
733999,46000,5000,1,4,0,2
733999,53000,6000,1,4,0,2
733999,47000,5000,1,4,0,2
838856,46000,5000,1,4,0,2
838856,45000,5000,1,4,0,2
838856,46000,5000,1,4,0,2
838856,46000,4000,1,4,0,2
838856,45000,5000,1,4,0,2
838856,45000,4000,1,4,0,2
838856,45000,5000,1,4,0,2
838856,45000,5000,1,4,0,2
838856,45000,6000,1,4,0,2
838856,46000,4000,1,4,0,2
838856,49000,5000,1,4,0,2
838856,46000,4000,1,4,0,2
838856,47000,5000,1,4,0,2
838856,46000,5000,1,4,0,2
838856,54000,6000,1,4,0,2
838856,56000,7000,1,4,0,2
838856,70000,7000,1,4,0,2
838856,70000,9000,1,4,0,2
838856,48000,5000,1,4,0,2
838856,47000,5000,1,4,0,2
943713,47000,5000,1,4,0,2
943713,46000,5000,1,4,0,2
943713,50000,5000,1,4,0,2
943713,48000,5000,1,4,0,2
943713,47000,5000,1,4,0,2
943713,46000,4000,1,4,0,2
943713,46000,5000,1,4,0,2
943713,46000,5000,1,4,0,2
943713,46000,5000,1,4,0,2
943713,46000,4000,1,4,0,2
943713,55000,5000,1,4,0,2
943713,55000,7000,1,4,0,2
943713,49000,5000,1,4,0,2
943713,46000,5000,1,4,0,2
943713,47000,5000,1,4,0,2
943713,46000,5000,1,4,0,2
943713,46000,5000,1,4,0,2
943713,50000,5000,1,4,0,2
943713,47000,6000,1,4,0,2
943713,48000,6000,1,4,0,2
1048570,50000,7000,1,4,0,2
1048570,48000,6000,1,4,0,2
1048570,53000,6000,1,4,0,2
1048570,53000,7000,1,4,0,2
1048570,50000,6000,1,4,0,2
1048570,49000,6000,1,4,0,2
1048570,50000,6000,1,4,0,2
1048570,48000,5000,1,4,0,2
1048570,50000,5000,1,4,0,2
1048570,49000,6000,1,4,0,2
1048570,49000,5000,1,4,0,2
1048570,50000,5000,1,4,0,2
1048570,52000,6000,1,4,0,2
1048570,53000,6000,1,4,0,2
1048570,48000,5000,1,4,0,2
1048570,47000,5000,1,4,0,2
1048570,52000,6000,1,4,0,2
1048570,47000,5000,1,4,0,2
1048570,46000,5000,1,4,0,2
1048570,47000,5000,1,4,0,2
1153427,47000,7000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,45000,4000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,44000,4000,1,4,0,2
1153427,48000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,46000,4000,1,4,0,2
1153427,47000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,46000,5000,1,4,0,2
1153427,47000,5000,1,4,0,2
1153427,58000,7000,1,4,0,2
1258284,46000,6000,1,4,0,2
1258284,47000,5000,1,4,0,2
1258284,46000,5000,1,4,0,2
1258284,45000,4000,1,4,0,2
1258284,45000,5000,1,4,0,2
1258284,53000,6000,1,4,0,2
1258284,48000,5000,1,4,0,2
1258284,47000,5000,1,4,0,2
1258284,46000,5000,1,4,0,2
1258284,46000,4000,1,4,0,2
1258284,45000,4000,1,4,0,2
1258284,46000,5000,1,4,0,2
1258284,46000,5000,1,4,0,2
1258284,46000,5000,1,4,0,2
1258284,46000,5000,1,4,0,2
1258284,46000,5000,1,4,0,2
1258284,39000,5000,1,4,0,2
1258284,58000,6000,1,4,0,2
1258284,64000,11000,1,4,0,2
1258284,64000,7000,1,4,0,2
1363141,62000,7000,1,4,0,2
1363141,54000,6000,1,4,0,2
1363141,59000,7000,1,4,0,2
1363141,64000,8000,1,4,0,2
1363141,68000,8000,1,4,0,2
1363141,55000,7000,1,4,0,2
1363141,60000,10000,1,4,0,2
1363141,70000,8000,1,4,0,2
1363141,58000,7000,1,4,0,2
1363141,64000,7000,1,4,0,2
1363141,56000,7000,1,4,0,2
1363141,62000,7000,1,4,0,2
1363141,55000,6000,1,4,0,2
1363141,53000,6000,1,4,0,2
1363141,58000,7000,1,4,0,2
1363141,54000,7000,1,4,0,2
1363141,52000,5000,1,4,0,2
1363141,48000,5000,1,4,0,2
1363141,46000,5000,1,4,0,2
1363141,47000,5000,1,4,0,2
1467998,47000,6000,1,4,0,2
1467998,45000,5000,1,4,0,2
1467998,45000,5000,1,4,0,2
1467998,48000,6000,1,4,0,2
1467998,47000,5000,1,4,0,2
1467998,47000,6000,1,4,0,2
1467998,48000,6000,1,4,0,2
1467998,46000,5000,1,4,0,2
1467998,46000,5000,1,4,0,2
1467998,54000,6000,1,4,0,2
1467998,53000,5000,1,4,0,2
1467998,48000,5000,1,4,0,2
1467998,47000,5000,1,4,0,2
1467998,45000,5000,1,4,0,2
1467998,49000,5000,1,4,0,2
1467998,47000,5000,1,4,0,2
1467998,46000,5000,1,4,0,2
1467998,48000,5000,1,4,0,2
1467998,46000,5000,1,4,0,2
1467998,45000,5000,1,4,0,2
1572855,54000,6000,1,4,0,2
1572855,52000,6000,1,4,0,2
1572855,56000,6000,1,4,0,2
1572855,47000,5000,1,4,0,2
1572855,61000,6000,1,4,0,2
1572855,49000,6000,1,4,0,2
1572855,49000,5000,1,4,0,2
1572855,49000,5000,1,4,0,2
1572855,46000,5000,1,4,0,2
1572855,49000,5000,1,4,0,2
1572855,48000,5000,1,4,0,2
1572855,51000,6000,1,4,0,2
1572855,49000,6000,1,4,0,2
1572855,52000,12000,1,4,0,2
1572855,52000,6000,1,4,0,2
1572855,52000,6000,1,4,0,2
1572855,56000,6000,1,4,0,2
1572855,47000,5000,1,4,0,2
1572855,51000,5000,1,4,0,2
1572855,48000,5000,1,4,0,2
1677712,48000,7000,1,4,0,2
1677712,54000,7000,1,4,0,2
1677712,57000,7000,1,4,0,2
1677712,48000,5000,1,4,0,2
1677712,52000,6000,1,4,0,2
1677712,58000,7000,1,4,0,2
1677712,56000,7000,1,4,0,2
1677712,56000,6000,1,4,0,2
1677712,59000,7000,1,4,0,2
1677712,54000,6000,1,4,0,2
1677712,53000,7000,1,4,0,2
1677712,51000,6000,1,4,0,2
1677712,48000,5000,1,4,0,2
1677712,57000,7000,1,4,0,2
1677712,55000,6000,1,4,0,2
1677712,47000,5000,1,4,0,2
1677712,47000,6000,1,4,0,2
1677712,47000,5000,1,4,0,2
1677712,47000,5000,1,4,0,2
1677712,47000,5000,1,4,0,2
1782569,54000,5000,1,4,0,2
1782569,49000,5000,1,4,0,2
1782569,50000,5000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,99000,7000,1,4,0,2
1782569,52000,5000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,46000,5000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,55000,6000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,53000,5000,1,4,0,2
1782569,47000,5000,1,4,0,2
1782569,46000,5000,1,4,0,2
1782569,46000,5000,1,4,0,2
1887426,49000,6000,1,4,0,2
1887426,47000,5000,1,4,0,2
1887426,46000,6000,1,4,0,2
1887426,72000,6000,1,4,0,2
1887426,54000,6000,1,4,0,2
1887426,52000,6000,1,4,0,2
1887426,51000,7000,1,4,0,2
1887426,65000,8000,1,4,0,2
1887426,63000,9000,1,4,0,2
1887426,57000,7000,1,4,0,2
1887426,65000,8000,1,4,0,2
1887426,93000,12000,1,4,0,2
1887426,68000,7000,1,4,0,2
1887426,55000,7000,1,4,0,2
1887426,55000,6000,1,4,0,2
1887426,60000,8000,1,4,0,2
1887426,76000,6000,1,4,0,2
1887426,49000,5000,1,4,0,2
1887426,47000,5000,1,4,0,2
1887426,46000,5000,1,4,0,2
1992283,54000,7000,1,4,0,2
1992283,52000,5000,1,4,0,2
1992283,47000,5000,1,4,0,2
1992283,48000,5000,1,4,0,2
1992283,54000,6000,1,4,0,2
1992283,48000,5000,1,4,0,2
1992283,46000,5000,1,4,0,2
1992283,46000,6000,1,4,0,2
1992283,45000,4000,1,4,0,2
1992283,54000,6000,1,4,0,2
1992283,53000,6000,1,4,0,2
1992283,49000,5000,1,4,0,2
1992283,48000,5000,1,4,0,2
1992283,50000,6000,1,4,0,2
1992283,47000,5000,1,4,0,2
1992283,56000,7000,1,4,0,2
1992283,130000,9000,1,4,0,2
1992283,58000,7000,1,4,0,2
1992283,56000,7000,1,4,0,2
1992283,58000,7000,1,4,0,2
2097140,61000,8000,1,4,0,2
2097140,91000,7000,1,4,0,2
2097140,50000,5000,1,4,0,2
2097140,47000,5000,1,4,0,2
2097140,55000,5000,1,4,0,2
2097140,49000,6000,1,4,0,2
2097140,55000,7000,1,4,0,2
2097140,50000,6000,1,4,0,2
2097140,61000,7000,1,4,0,2
2097140,56000,7000,1,4,0,2
2097140,57000,7000,1,4,0,2
2097140,68000,7000,1,4,0,2
2097140,56000,7000,1,4,0,2
2097140,54000,7000,1,4,0,2
2097140,55000,7000,1,4,0,2
2097140,64000,6000,1,4,0,2
2097140,53000,6000,1,4,0,2
2097140,64000,7000,1,4,0,2
2097140,54000,6000,1,4,0,2
2097140,53000,9000,1,4,0,2
2201997,48000,8000,1,4,0,2
2201997,51000,5000,1,4,0,2
2201997,47000,6000,1,4,0,2
2201997,46000,6000,1,4,0,2
2201997,47000,5000,1,4,0,2
2201997,47000,6000,1,4,0,2
2201997,55000,6000,1,4,0,2
2201997,47000,5000,1,4,0,2
2201997,47000,5000,1,4,0,2
2201997,46000,5000,1,4,0,2
2201997,48000,5000,1,4,0,2
2201997,47000,5000,1,4,0,2
2201997,49000,5000,1,4,0,2
2201997,46000,5000,1,4,0,2
2201997,54000,6000,1,4,0,2
2201997,47000,5000,1,4,0,2
2201997,46000,5000,1,4,0,2
2201997,45000,5000,1,4,0,2
2201997,54000,6000,1,4,0,2
2201997,49000,6000,1,4,0,2
2306854,57000,7000,1,4,0,2
2306854,55000,7000,1,4,0,2
2306854,47000,5000,1,4,0,2
2306854,64000,6000,1,4,0,2
2306854,62000,12000,1,4,0,2
2306854,60000,7000,1,4,0,2
2306854,55000,7000,1,4,0,2
2306854,61000,6000,1,4,0,2
2306854,65000,7000,1,4,0,2
2306854,53000,7000,1,4,0,2
2306854,59000,7000,1,4,0,2
2306854,54000,7000,1,4,0,2
2306854,55000,6000,1,4,0,2
2306854,58000,6000,1,4,0,2
2306854,48000,5000,1,4,0,2
2306854,47000,6000,1,4,0,2
2306854,47000,5000,1,4,0,2
2306854,47000,5000,1,4,0,2
2306854,46000,5000,1,4,0,2
2306854,54000,6000,1,4,0,2
2411711,48000,6000,1,4,0,2
2411711,55000,6000,1,4,0,2
2411711,47000,5000,1,4,0,2
2411711,46000,5000,1,4,0,2
2411711,46000,5000,1,4,0,2
2411711,54000,6000,1,4,0,2
2411711,47000,5000,1,4,0,2
2411711,46000,5000,1,4,0,2
2411711,89000,10000,1,4,0,2
2411711,63000,7000,1,4,0,2
2411711,52000,5000,1,4,0,2
2411711,48000,5000,1,4,0,2
2411711,51000,6000,1,4,0,2
2411711,47000,5000,1,4,0,2
2411711,47000,5000,1,4,0,2
2411711,50000,5000,1,4,0,2
2411711,52000,6000,1,4,0,2
2411711,46000,5000,1,4,0,2
2411711,47000,4000,1,4,0,2
2411711,58000,8000,1,4,0,2
2516568,53000,6000,1,4,0,2
2516568,61000,7000,1,4,0,2
2516568,55000,7000,1,4,0,2
2516568,54000,6000,1,4,0,2
2516568,57000,7000,1,4,0,2
2516568,65000,7000,1,4,0,2
2516568,53000,7000,1,4,0,2
2516568,51000,6000,1,4,0,2
2516568,57000,6000,1,4,0,2
2516568,54000,7000,1,4,0,2
2516568,54000,6000,1,4,0,2
2516568,56000,6000,1,4,0,2
2516568,53000,6000,1,4,0,2
2516568,55000,7000,1,4,0,2
2516568,54000,6000,1,4,0,2
2516568,52000,6000,1,4,0,2
2516568,52000,6000,1,4,0,2
2516568,50000,6000,1,4,0,2
2516568,53000,6000,1,4,0,2
2516568,51000,6000,1,4,0,2
2621425,48000,6000,1,4,0,2
2621425,53000,5000,1,4,0,2
2621425,49000,5000,1,4,0,2
2621425,47000,5000,1,4,0,2
2621425,46000,5000,1,4,0,2
2621425,49000,5000,1,4,0,2
2621425,56000,6000,1,4,0,2
2621425,55000,6000,1,4,0,2
2621425,47000,6000,1,4,0,2
2621425,46000,5000,1,4,0,2
2621425,48000,5000,1,4,0,2
2621425,58000,7000,1,4,0,2
2621425,59000,7000,1,4,0,2
2621425,70000,8000,1,4,0,2
2621425,54000,6000,1,4,0,2
2621425,58000,6000,1,4,0,2
2621425,55000,7000,1,4,0,2
2621425,55000,7000,1,4,0,2
2621425,54000,6000,1,4,0,2
2621425,79000,7000,1,4,0,2
2726282,50000,7000,1,4,0,2
2726282,47000,5000,1,4,0,2
2726282,48000,5000,1,4,0,2
2726282,52000,6000,1,4,0,2
2726282,47000,5000,1,4,0,2
2726282,52000,6000,1,4,0,2
2726282,52000,6000,1,4,0,2
2726282,47000,5000,1,4,0,2
2726282,46000,6000,1,4,0,2
2726282,54000,6000,1,4,0,2
2726282,47000,4000,1,4,0,2
2726282,50000,5000,1,4,0,2
2726282,54000,6000,1,4,0,2
2726282,47000,5000,1,4,0,2
2726282,48000,6000,1,4,0,2
2726282,62000,8000,1,4,0,2
2726282,60000,7000,1,4,0,2
2726282,47000,5000,1,4,0,2
2726282,55000,6000,1,4,0,2
2726282,52000,6000,1,4,0,2
2831139,56000,6000,1,4,0,2
2831139,53000,6000,1,4,0,2
2831139,48000,5000,1,4,0,2
2831139,56000,7000,1,4,0,2
2831139,55000,7000,1,4,0,2
2831139,53000,7000,1,4,0,2
2831139,56000,7000,1,4,0,2
2831139,49000,6000,1,4,0,2
2831139,56000,7000,1,4,0,2
2831139,133000,8000,1,4,0,2
2831139,56000,7000,1,4,0,2
2831139,56000,8000,1,4,0,2
2831139,54000,7000,1,4,0,2
2831139,59000,7000,1,4,0,2
2831139,55000,7000,1,4,0,2
2831139,58000,7000,1,4,0,2
2831139,53000,6000,1,4,0,2
2831139,48000,5000,1,4,0,2
2831139,47000,5000,1,4,0,2
2831139,57000,6000,1,4,0,2
2935996,51000,6000,1,4,0,2
2935996,55000,7000,1,4,0,2
2935996,54000,6000,1,4,0,2
2935996,50000,5000,1,4,0,2
2935996,49000,6000,1,4,0,2
2935996,53000,6000,1,4,0,2
2935996,53000,5000,1,4,0,2
2935996,51000,6000,1,4,0,2
2935996,52000,7000,1,4,0,2
2935996,55000,7000,1,4,0,2
2935996,55000,7000,1,4,0,2
2935996,56000,8000,1,4,0,2
2935996,58000,7000,1,4,0,2
2935996,62000,8000,1,4,0,2
2935996,62000,8000,1,4,0,2
2935996,56000,7000,1,4,0,2
2935996,57000,6000,1,4,0,2
2935996,54000,28000,1,4,0,2
2935996,54000,6000,1,4,0,2
2935996,49000,5000,1,4,0,2
3040853,47000,7000,1,4,0,2
3040853,57000,6000,1,4,0,2
3040853,50000,5000,1,4,0,2
3040853,58000,6000,1,4,0,2
3040853,49000,6000,1,4,0,2
3040853,49000,5000,1,4,0,2
3040853,54000,6000,1,4,0,2
3040853,48000,6000,1,4,0,2
3040853,49000,5000,1,4,0,2
3040853,53000,6000,1,4,0,2
3040853,61000,10000,1,4,0,2
3040853,59000,7000,1,4,0,2
3040853,56000,7000,1,4,0,2
3040853,50000,5000,1,4,0,2
3040853,68000,7000,1,4,0,2
3040853,53000,6000,1,4,0,2
3040853,51000,6000,1,4,0,2
3040853,49000,6000,1,4,0,2
3040853,46000,5000,1,4,0,2
3040853,48000,6000,1,4,0,2
3145710,61000,6000,1,4,0,2
3145710,47000,5000,1,4,0,2
3145710,59000,7000,1,4,0,2
3145710,57000,7000,1,4,0,2
3145710,58000,7000,1,4,0,2
3145710,55000,7000,1,4,0,2
3145710,55000,7000,1,4,0,2
3145710,55000,7000,1,4,0,2
3145710,59000,7000,1,4,0,2
3145710,53000,7000,1,4,0,2
3145710,59000,7000,1,4,0,2
3145710,47000,5000,1,4,0,2
3145710,47000,5000,1,4,0,2
3145710,46000,5000,1,4,0,2
3145710,45000,5000,1,4,0,2
3145710,53000,6000,1,4,0,2
3145710,66000,7000,1,4,0,2
3145710,49000,6000,1,4,0,2
3145710,55000,5000,1,4,0,2
3145710,56000,7000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,58000,7000,1,4,0,2
3250567,56000,6000,1,4,0,2
3250567,71000,9000,1,4,0,2
3250567,56000,6000,1,4,0,2
3250567,55000,7000,1,4,0,2
3250567,56000,6000,1,4,0,2
3250567,56000,7000,1,4,0,2
3250567,56000,6000,1,4,0,2
